Date,y,year,month,quarter,month_sin,month_cos,lag_1,lag_2,lag_3,lag_12,roll3_mean,roll6_mean,roll12_mean,roll3_std,roll6_std,roll12_std,mom_1,mom_yoy,has_public_holiday
2014-06-01,1942268,2014,6,2,1.2246467991473532e-16,-1.0,1978028.0,1877676.0,1957341.0,1831036.0,1937681.6666666667,1832737.8333333333,1831296.5,52985.82844811754,125799.03466309588,101721.24903649915,-0.018078611627337926,0.060748122920576186,0
2014-07-01,1993631,2014,7,3,-0.4999999999999997,-0.8660254037844388,1942268.0,1978028.0,1877676.0,1976289.0,1932657.3333333333,1859444.3333333333,1840565.8333333333,50861.62267695895,129825.2936752574,106644.22459223386,0.026444857249360076,0.00877503239657762,0
2014-08-01,1817310,2014,8,3,-0.8660254037844385,-0.5000000000000004,1993631.0,1942268.0,1978028.0,1840591.0,1971309.0,1901793.0,1842011.0,26332.454557067296,124210.58693042317,108747.41469194497,-0.0884421440075922,-0.012648654698409367,0
2014-09-01,1853286,2014,9,3,-1.0,-1.8369701987210297e-16,1817310.0,1993631.0,1942268.0,1768749.0,1917736.3333333333,1927709.0,1840070.9166666667,90684.20900208228,67318.60372883744,108982.46654014704,0.019796292322168396,0.04779479733981473,0
2014-10-01,1892374,2014,10,4,-0.8660254037844386,0.5000000000000001,1853286.0,1817310.0,1993631.0,1829429.0,1888075.6666666667,1910366.5,1847115.6666666667,93166.59508822538,71435.461372488,106660.56557845164,0.021091186141804386,0.034406910571549876,0
2014-11-01,1830460,2014,11,4,-0.5000000000000004,0.8660254037844384,1892374.0,1853286.0,1817310.0,1733037.0,1854323.3333333333,1912816.1666666667,1852361.0833333333,37542.74989040294,70333.74975477203,107257.7882533127,-0.03271763404062833,0.05621518755802679,0
2014-12-01,1901227,2014,12,4,-2.4492935982947064e-16,1.0,1830460.0,1892374.0,1853286.0,1782029.0,1858706.6666666667,1888221.5,1860479.6666666667,31310.91773380898,68752.81955454769,100903.6662072328,0.03866077379456523,0.06688892268307645,0
2015-01-01,1732067,2015,1,1,0.49999999999999994,0.8660254037844387,1901227.0,1830460.0,1892374.0,1739539.0,1874687.0,1881381.3333333333,1870412.8333333333,38556.64078988236,64190.56405942274,98312.52249270614,-0.08897412039698571,-0.0042953909052916295,0
2015-02-01,1654846,2015,2,1,0.8660254037844386,0.5000000000000001,1732067.0,1901227.0,1830460.0,1661814.0,1821251.3333333333,1837787.3333333333,1869790.1666666667,84955.14143554437,61472.43939739844,99236.09572935708,-0.04458314834241406,-0.004193008363150175,0
2015-03-01,1942967,2015,3,1,1.0,6.123233995736766e-17,1654846.0,1732067.0,1901227.0,1957341.0,1762713.3333333333,1810710.0,1869209.5,126017.05281561436,97512.48371977883,100575.02511648643,0.17410743960465203,-0.007343636085894056,0
